model_config_id,coverage_stratum,analysis_period,metric,questions_expected,questions_paired,rag_n,rag_mean,rag_standard_deviation,rag_median,rag_iqr,rag_p50,rag_p95,web_n,web_mean,web_standard_deviation,web_median,web_iqr,web_p50,web_p95,paired_difference_rag_minus_web_n,paired_difference_rag_minus_web_mean,paired_difference_rag_minus_web_standard_deviation,paired_difference_rag_minus_web_median,paired_difference_rag_minus_web_iqr,paired_difference_rag_minus_web_p50,paired_difference_rag_minus_web_p95,paired_difference_ci95_low,paired_difference_ci95_high,paired_ratio_rag_over_web_mean,paired_ratio_ci95_low,paired_ratio_ci95_high,bootstrap_resamples,bootstrap_cluster
gpt55_medium,not_covered_by_local_corpus,mean_of_two_runs,total_tokens,20,20,20,1278.325,343.4528725427911,1150.5,40.75,1150.5,1995.1000000000004,20,22739.625,10168.775224954965,20255.75,11277.875,20255.75,39423.600000000006,20,-21461.3,10117.146519386622,-19099.5,11256.0,-19099.5,-10704.75,-26008.94,-17430.780625,0.06616723139448973,0.05305315556011713,0.08227471039365443,10000,question_id
gpt55_medium,not_covered_by_local_corpus,mean_of_two_runs,input_tokens,20,20,20,951.65,258.38023286784556,858.0,5.75,858.0,1304.7500000000005,20,20844.8,9880.349533557159,18058.0,10850.75,18058.0,37045.00000000001,20,-19893.15,9880.314997508936,-17195.75,10869.125,-17195.75,-9612.775,-24382.49125,-15978.578750000002,0.055435589961701066,0.043090072149524886,0.07074076103619863,10000,question_id
gpt55_medium,not_covered_by_local_corpus,mean_of_two_runs,output_tokens,20,20,20,326.675,115.4769599940771,292.5,32.0,292.5,580.2500000000001,20,1894.825,350.3215167978966,1859.75,415.375,1859.75,2378.6000000000004,20,-1568.15,324.1526646504699,-1585.0,463.125,-1585.0,-1091.975,-1704.876875,-1428.548125,0.17526283128583267,0.1536857410081988,0.20044960932122013,10000,question_id
gpt55_medium,not_covered_by_local_corpus,mean_of_two_runs,reasoning_tokens,20,20,20,85.55,52.474028663811644,69.25,16.75,69.25,200.97500000000005,20,892.7,295.70541884930367,911.25,423.25,911.25,1407.9,20,-807.15,281.6520389640941,-848.0,435.75,-848.0,-435.0749999999999,-926.728125,-686.870625,0.10335689699985841,0.0813304267211943,0.12781322528402966,10000,question_id
gpt55_medium,not_covered_by_local_corpus,mean_of_two_runs,local_retrieval_ms,20,0,20,259.7372283344157,29.391941458695666,264.42286171368323,5.899805561057292,264.42286171368323,279.87074058910366,0,,,,,,,0,,,,,,,,,,,,10000,question_id
gpt55_medium,not_covered_by_local_corpus,1_primary,total_estimated_cost_usd,20,20,20,0.01480825,0.004880237072272099,0.012882500000000002,0.0008362500000000019,0.012882500000000002,0.025244500000000003,20,0.17164675000000001,0.08088180487071699,0.159154,0.10769125000000003,0.159154,0.32231925,20,-0.1568385,0.07975492967604937,-0.145889,0.10738125000000001,-0.145889,-0.06935574999999998,-0.1939521125,-0.12440653125000001,0.10376022452245111,0.0815236284042664,0.12879060474981707,10000,question_id
gpt55_medium,not_covered_by_local_corpus,1_primary,end_to_end_ms,20,20,20,5229.994438361609,1706.8828338860824,4594.787775538862,664.9594351474661,4594.787775538862,9048.544551519444,20,28678.281439101556,8437.355370692403,28778.56139204232,11884.712524712086,28778.56139204232,41757.49654829851,20,-23448.287000739947,8342.84558323054,-23893.628693534993,12689.073543500854,-23893.628693534993,-12200.092882860916,-26957.127734898822,-19958.79533853702,0.19727908974126696,0.16486596046935648,0.23420487002643176,10000,question_id
gpt55_medium,not_covered_by_local_corpus,1_primary,api_wall_ms,20,20,20,4781.766746524954,1709.0784705024146,4152.460579993203,693.551067262888,4152.460579993203,8703.481148096034,20,28540.010398672894,8414.596399744225,28627.681721001863,11855.254446767503,28627.681721001863,41564.76179793826,20,-23758.24365214794,8332.607549466557,-24218.36905402597,12689.774916565511,-24218.36905402597,-12513.256228534736,-27290.687534717,-20247.605695482198,0.18121366589267507,0.15008348890207623,0.21674648072928177,10000,question_id
gpt55_medium,not_covered_by_local_corpus,1_primary,time_to_first_token_ms,20,20,20,2030.8457838953473,882.9268385863621,1726.123696018476,470.58457002276555,1726.123696018476,4155.691607657355,20,17543.760310969083,7845.722352836313,17301.30786204245,13276.697150227847,17301.30786204245,28524.122711759996,20,-15512.914527073735,7835.375545215437,-15463.285769044887,13949.293409415986,-15463.285769044887,-5617.978303559355,-18876.4602328428,-12136.929104405137,0.14699336531441415,0.1100133207865488,0.19017827878602503,10000,question_id
gpt55_medium,not_covered_by_local_corpus,1_primary,total_tokens,20,20,20,1286.65,360.30415148725024,1142.0,32.25,1142.0,2037.2500000000002,20,23464.8,10849.00949929483,21243.0,14237.5,21243.0,43260.3,20,-22178.15,10812.58088025728,-20087.5,14229.0,-20087.5,-10668.349999999999,-27113.9725,-17885.04875,0.06597100673690659,0.05197569560077084,0.08318925479099629,10000,question_id
gpt55_medium,not_covered_by_local_corpus,1_primary,input_tokens,20,20,20,951.65,258.38023286784556,858.0,5.75,858.0,1304.7500000000005,20,21582.45,10533.718818881733,19096.0,13776.5,19096.0,40990.15000000001,20,-20630.8,10541.856975135383,-18240.0,13792.5,-18240.0,-9598.349999999999,-25358.306249999998,-16438.8075,0.054799916332331604,0.042189485123943354,0.07002085628961563,10000,question_id
gpt55_medium,not_covered_by_local_corpus,1_primary,output_tokens,20,20,20,335.0,130.0712355434109,287.0,27.0,287.0,629.3500000000001,20,1882.35,406.81448959859875,1876.5,522.5,1876.5,2500.05,20,-1547.35,404.8967737194519,-1575.5,522.25,-1575.5,-970.2499999999998,-1716.30375,-1372.64875,0.18480577523081723,0.15549499139919848,0.218528211078944,10000,question_id
gpt55_medium,not_covered_by_local_corpus,1_primary,reasoning_tokens,20,20,20,90.65,65.2785730945703,70.0,13.25,70.0,262.75,20,916.25,376.1981385834919,867.0,664.25,867.0,1385.65,20,-825.6,376.11537983359364,-785.5,606.0,-785.5,-313.64999999999986,-989.75375,-664.64875,0.12144837952138869,0.08466831588271481,0.16728393549404913,10000,question_id
gpt55_medium,not_covered_by_local_corpus,1_primary,local_retrieval_ms,20,0,20,258.60456326045096,31.987468797664686,265.21807408425957,6.774560111807659,265.21807408425957,275.7658002374228,0,,,,,,,0,,,,,,,,,,,,10000,question_id
gpt56_sol_high,all_prespecified_80_20,mean_of_two_runs,total_estimated_cost_usd,100,100,100,0.03512744,0.019343580557101905,0.0359245,0.030288750000000003,0.0359245,0.06665075,100,0.173770156,0.07333873702136927,0.1703246,0.11148800000000002,0.1703246,0.3094251,100,-0.138642716,0.07753198849033213,-0.13239160000000003,0.09915500000000002,-0.13239160000000003,-0.02112170000000001,-0.1540037883,-0.12381945705000003,0.26203127188807546,0.2178966806085246,0.3104947484109351,10000,question_id
gpt56_sol_high,all_prespecified_80_20,mean_of_two_runs,end_to_end_ms,100,100,100,9299.845970058232,4976.7395708130825,8539.947359735379,7091.682000318542,8539.947359735379,17550.174476881508,100,36125.127496799105,18818.9732110419,32954.64931472088,20434.499995593796,32954.64931472088,75347.95312360511,100,-26825.281526740873,18276.534555847644,-22660.77903425321,22100.609640125185,-22660.77903425321,-5356.497833851613,-30596.254914172256,-23492.629706327265,0.31044712921711254,0.27328096255605,0.3510077125268974,10000,question_id
gpt56_sol_high,all_prespecified_80_20,mean_of_two_runs,api_wall_ms,100,100,100,8760.224097663304,4964.51378873908,8030.664025776787,6999.250211621984,8030.664025776787,17028.06125051866,100,35900.536702866084,18788.028643003174,32790.60718699475,20386.054581205826,32790.60718699475,74573.93245107378,100,-27140.31260520278,18255.332174608124,-22960.431654006243,22076.537221248145,-22960.431654006243,-5720.818414087994,-30887.79132104201,-23717.783330460912,0.29343218084763345,0.2567679160588121,0.332208390058537,10000,question_id
gpt56_sol_high,all_prespecified_80_20,mean_of_two_runs,time_to_first_token_ms,100,100,100,4840.618628496304,3057.5628676379615,4493.896120751742,4812.405219767243,4493.896120751742,10688.812105273244,100,29025.795570141054,16051.722220543445,25992.037651187275,16886.520742089488,25992.037651187275,59144.457832240725,100,-24185.17694164475,15844.721444029572,-21404.54532948206,17546.656160833663,-21404.54532948206,-5132.250212429791,-27402.579711244558,-21196.070562883804,0.2081660391858994,0.17829198193493936,0.24005675212042066,10000,question_id
gpt56_sol_high,all_prespecified_80_20,mean_of_two_runs,total_tokens,100,100,100,5228.4,3113.801990065093,4959.5,4347.0,4959.5,10897.125,100,32010.085,11781.21219690744,30560.5,17981.5,30560.5,51453.5,100,-26781.685,12670.355720305,-25542.25,17762.875,-25542.25,-7923.700000000001,-29269.912,-24354.098375,0.2000291746683048,0.16876468166026862,0.2349672014188149,10000,question_id
gpt56_sol_high,all_prespecified_80_20,mean_of_two_runs,input_tokens,100,100,100,4598.43,2933.029599478011,4362.5,4203.25,4362.5,10301.699999999999,100,30140.865,11132.788477607326,28610.5,17068.5,28610.5,47333.424999999996,100,-25542.435,12059.643303989953,-24075.0,17007.625,-24075.0,-7487.0,-27903.9055,-23166.904375000002,0.1893318907479011,0.15731566037883246,0.2241435275065968,10000,question_id
gpt56_sol_high,all_prespecified_80_20,mean_of_two_runs,output_tokens,100,100,100,629.97,393.45457055536804,589.25,620.625,589.25,1270.9999999999998,100,1869.22,799.4685713432746,1760.75,1068.25,1760.75,3244.3749999999995,100,-1239.25,805.1008108656739,-1097.5,938.0,-1097.5,-251.20000000000005,-1399.79625,-1088.344,0.37677365182642025,0.3307296434034887,0.4241066294983359,10000,question_id
gpt56_sol_high,all_prespecified_80_20,mean_of_two_runs,reasoning_tokens,100,100,100,279.92,241.01086274190206,243.25,371.875,243.25,746.525,100,1321.59,668.2433113255329,1223.25,846.0,1223.25,2540.5499999999997,100,-1041.67,678.2280806586671,-896.25,759.125,-896.25,-127.975,-1173.243375,-910.9370000000001,0.25032850583144156,0.20492333222405912,0.2980819682277951,10000,question_id
gpt56_sol_high,all_prespecified_80_20,mean_of_two_runs,local_retrieval_ms,100,0,100,261.5168116427958,44.001322203424984,274.82844423502684,60.93226316443179,274.82844423502684,313.1731323694112,0,,,,,,,0,,,,,,,,,,,,10000,question_id
gpt56_sol_high,all_prespecified_80_20,1_primary,total_estimated_cost_usd,100,100,100,0.03542743,0.0195033546191185,0.034647,0.031322499999999996,0.034647,0.06714175,100,0.169059564,0.08354184990941473,0.1561918,0.12374449999999998,0.1561918,0.3197631,100,-0.133632134,0.08739983761281198,-0.12852809999999998,0.1440075,-0.12852809999999998,-0.0167447,-0.150549183,-0.11637913615,0.29578814174087664,0.2457008524196059,0.35062513001579454,10000,question_id
gpt56_sol_high,all_prespecified_80_20,1_primary,end_to_end_ms,100,100,100,9013.763212691993,5250.1806090888385,8280.227472947445,7227.828345960006,8280.227472947445,17357.813625817653,100,32038.288483457873,19997.729474516636,26156.034810468554,24561.570502468385,26156.034810468554,67824.1006428725,100,-23024.52527076588,19998.708904457533,-17491.886969073676,23244.41273670527,-17491.886969073676,-1996.980354038533,-26990.51710623369,-19350.119293558964,0.370321904665331,0.3212849073752486,0.4222100145824374,10000,question_id
gpt56_sol_high,all_prespecified_80_20,1_primary,api_wall_ms,100,100,100,8551.318591294112,5235.754939305244,7898.110889480449,7189.279347745469,7898.110889480449,16831.29737059935,100,31901.67894566781,19979.15213654278,26052.97161801718,24532.196488959016,26052.97161801718,67628.16380567382,100,-23350.360354373697,20003.50226269105,-17843.57746259775,23235.699180630036,-17843.57746259775,-2272.6547661761288,-27441.01459841279,-19716.17435863655,0.35248523642273794,0.30397191262162626,0.4038713136654289,10000,question_id
