model_config_id,system_arm,n,mean_cost_usd,median_cost_usd,max_cost_usd,mean_total_tokens,median_api_wall_ms,p95_api_wall_ms,median_end_to_end_ms,web_search_calls,validator_status
gpt55_medium,RAG,5,0.054384,0.07052,0.085895,7055.8,11674.369052052498,13654.369044373743,12107.737613026984,0,"{""accepted"": 4, ""rejected"": 1}"
gpt55_medium,WEB,5,0.1510752,0.143859,0.218529,20133.8,26446.158409002237,32270.60053453315,26532.778668915853,12,"{""accepted"": 5}"
gpt56_sol_high,RAG,5,0.045297,0.058832,0.073052,6992.2,11506.705565028824,14165.65507852938,11927.395869977772,0,"{""accepted"": 5}"
gpt56_sol_high,WEB,5,0.18274168000000002,0.1712826,0.27571860000000004,32000.6,27909.15732004214,57215.6649392331,27970.42004810646,18,"{""accepted"": 5}"
